2021-10-25 08:41:35.258 | INFO     |  5867 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-25 08:41:35.268 | INFO     |  5867 | mycroft_bus_client.client.client | Connected
2021-10-25 08:41:35.271 | INFO     |  5867 | mycroft.util.process_utils:start_message_bus_client:155 | Connected to messagebus
2021-10-25 08:41:35.276 | INFO     |  5867 | mycroft.skills.msm_wrapper:create_msm:96 | Acquiring lock to instantiate MSM
2021-10-25 08:41:38.534 | INFO     |  5867 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-25 08:41:39.628 | INFO     |  5867 | mycroft.skills.msm_wrapper:create_msm:112 | Releasing MSM instantiation lock.
2021-10-25 08:41:39.629 | INFO     |  5867 | mycroft.skills.skill_updater:_log_next_download_time:267 | Next scheduled skill update: 2021-10-25 08:41:38.629208
2021-10-25 08:41:39.630 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-pairing
2021-10-25 08:41:41.390 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:41.423 | INFO     |  5867 | msm.skill_entry | Successfully installed mycroft-pairing
2021-10-25 08:41:41.423 | INFO     |  5867 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 08:41:41.424 | INFO     |  5867 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-pairing.mycroftai
2021-10-25 08:41:41.438 | INFO     |  5867 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-10-25 08:41:41.463 | INFO     |  5867 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-pairing.mycroftai
2021-10-25 08:41:41.464 | INFO     |  5867 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-10-25 08:41:41.464 | INFO     |  5867 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-pairing.mycroftai loaded successfully
2021-10-25 08:41:41.467 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-volume
2021-10-25 08:41:41.894 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:41.926 | INFO     |  5867 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2021-10-25 08:41:42.966 | INFO     |  5867 | msm.skill_entry | Successfully installed mycroft-volume
2021-10-25 08:41:42.966 | INFO     |  5867 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 08:41:42.968 | INFO     |  5867 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-volume.mycroftai
2021-10-25 08:41:42.977 | INFO     |  5867 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-10-25 08:41:43.107 | ERROR    |  5867 | VolumeSkill | Couldn't allocate mixer, ALSAAudioError('No such file or directory [default]')
2021-10-25 08:41:46.108 | INFO     |  5867 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-volume.mycroftai
2021-10-25 08:41:46.109 | INFO     |  5867 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-10-25 08:41:46.110 | INFO     |  5867 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-volume.mycroftai loaded successfully
2021-10-25 08:41:46.111 | INFO     |  5867 | __main__:on_started:177 | Skills service is starting up.
2021-10-25 08:41:46.189 | INFO     |  5867 | __main__:_update_system:154 | Attempting system update...
2021-10-25 08:41:49.191 | INFO     |  5867 | mycroft.enclosure.display_manager:_write_data:70 | Display Manager is creating /tmp/mycroft/ipc/managers/disp_info
2021-10-25 08:41:49.192 | INFO     |  5867 | __main__:_ensure_device_is_paired:133 | Device not paired, invoking the pairing skill
2021-10-25 08:41:49.193 | INFO     |  5867 | __main__:on_alive:181 | Skills service is alive.
2021-10-25 08:41:49.201 | INFO     |  5867 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-25 08:41:49.416 | INFO     |  5867 | PairingSkill | Communicating account URL to user
2021-10-25 08:41:50.448 | WARNING  |  5867 | msm.mycroft_skills_manager | No such default skill: mycroft-pandora
2021-10-25 08:41:50.449 | INFO     |  5867 | mycroft.skills.skill_manager:run:234 | Not all default skills are installed, performing skill update...
2021-10-25 08:41:50.449 | INFO     |  5867 | mycroft.skills.skill_updater:update_skills:149 | Beginning skill update...
2021-10-25 08:41:50.510 | INFO     |  5867 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-25 08:41:50.887 | INFO     |  5867 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 08:41:50.952 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-duckduckgo
2021-10-25 08:41:50.954 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-wolfram-alpha
2021-10-25 08:41:50.959 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-alarm
2021-10-25 08:41:50.962 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-hello-world
2021-10-25 08:41:50.967 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-installer
2021-10-25 08:41:50.969 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-ip
2021-10-25 08:41:50.974 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-unknown
2021-10-25 08:41:50.980 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-date-time
2021-10-25 08:41:50.983 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-joke
2021-10-25 08:41:50.987 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-audio-record
2021-10-25 08:41:50.999 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-npr-news
2021-10-25 08:41:51.030 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-reminder
2021-10-25 08:41:51.061 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-singing
2021-10-25 08:41:51.081 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-personal
2021-10-25 08:41:51.087 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-playback-control
2021-10-25 08:41:51.094 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-naptime
2021-10-25 08:41:51.100 | INFO     |  5867 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-configuration
2021-10-25 08:41:52.304 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
2021-10-25 08:41:52.349 | INFO     |  5867 | msm.skill_entry | Installing system requirements...
