"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 26 13:13:35 GMT 2021","Tue Oct 26 13:13:42 GMT 2021","7035","","behave","","","","triger automation",""
"passed","Tue Oct 26 13:13:23 GMT 2021","Tue Oct 26 13:13:23 GMT 2021","638","","behave","","","","toggle on switch",""
"passed","Tue Oct 26 13:12:29 GMT 2021","Tue Oct 26 13:12:29 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 26 13:13:33 GMT 2021","Tue Oct 26 13:13:33 GMT 2021","347","","behave","","","","set light brightness",""
"passed","Tue Oct 26 13:13:33 GMT 2021","Tue Oct 26 13:13:34 GMT 2021","636","","behave","","","","increase light brightness",""
"passed","Tue Oct 26 13:12:29 GMT 2021","Tue Oct 26 13:12:29 GMT 2021","26","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Tue Oct 26 13:12:29 GMT 2021","Tue Oct 26 13:12:29 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Oct 26 13:12:29 GMT 2021","Tue Oct 26 13:12:29 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Tue Oct 26 13:12:29 GMT 2021","Tue Oct 26 13:12:29 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Tue Oct 26 13:13:42 GMT 2021","Tue Oct 26 13:13:43 GMT 2021","974","","behave","","","","tracker",""
"passed","Tue Oct 26 13:13:34 GMT 2021","Tue Oct 26 13:13:35 GMT 2021","1017","","behave","","","","turn off light",""
"passed","Tue Oct 26 13:12:29 GMT 2021","Tue Oct 26 13:12:29 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Tue Oct 26 13:13:22 GMT 2021","Tue Oct 26 13:13:22 GMT 2021","389","","behave","","","","turn on switch",""
"passed","Tue Oct 26 13:12:29 GMT 2021","Tue Oct 26 13:12:29 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Tue Oct 26 13:13:34 GMT 2021","Tue Oct 26 13:13:34 GMT 2021","396","","behave","","","","decrease light brightness",""
"passed","Tue Oct 26 13:13:44 GMT 2021","Tue Oct 26 13:13:45 GMT 2021","640","","behave","","","","add item",""
"passed","Tue Oct 26 13:13:32 GMT 2021","Tue Oct 26 13:13:33 GMT 2021","752","","behave","","","","turn on light",""
"passed","Tue Oct 26 13:13:22 GMT 2021","Tue Oct 26 13:13:23 GMT 2021","390","","behave","","","","toggle off switch",""
"passed","Tue Oct 26 13:13:18 GMT 2021","Tue Oct 26 13:13:22 GMT 2021","4193","","behave","","","","read sensor",""
"passed","Tue Oct 26 13:13:43 GMT 2021","Tue Oct 26 13:13:44 GMT 2021","659","","behave","","","","set climate temperature",""
"passed","Tue Oct 26 13:13:23 GMT 2021","Tue Oct 26 13:13:32 GMT 2021","8607","","behave","","","","turn off switch",""
"passed","Tue Oct 26 13:12:29 GMT 2021","Tue Oct 26 13:12:29 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
