2021-10-26 14:01:53.107 | INFO     |  5703 | __main__:main:50 | Starting message bus service...
2021-10-26 14:01:53.108 | INFO     |  5703 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-26 14:01:53.112 | INFO     |  5703 | __main__:on_ready:37 | Message bus service started!
2021-10-26 14:01:53.175 | INFO     |  5703 | tornado.access | 101 GET /core (127.0.0.1) 1.07ms
2021-10-26 14:01:53.248 | INFO     |  5703 | tornado.access | 101 GET /core (127.0.0.1) 0.55ms
2021-10-26 14:01:53.570 | INFO     |  5703 | tornado.access | 101 GET /core (127.0.0.1) 0.65ms
2021-10-26 14:01:53.863 | INFO     |  5703 | tornado.access | 101 GET /core (127.0.0.1) 0.77ms
2021-10-26 14:01:58.047 | INFO     |  5703 | tornado.access | 101 GET /core (127.0.0.1) 0.62ms
2021-10-26 14:03:25.699 | INFO     |  5703 | tornado.access | 101 GET /core (127.0.0.1) 0.50ms
2021-10-26 14:03:25.743 | INFO     |  5703 | tornado.access | 101 GET /core (127.0.0.1) 0.44ms
2021-10-26 14:04:06.462 | INFO     |  5703 | __main__:on_stopping:45 | Message bus is shutting down...
