"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","turn on","","2","0","0","0","0"
"","set brightness","","1","0","0","0","0"
"","","","0","0","8","0","0"
"","set climate","","1","0","0","0","0"
"","toggle","","2","0","0","0","0"
"","turn off","","2","0","0","0","0"
"","automation","","1","0","0","0","0"
"","decrease brightness","","1","0","0","0","0"
"","sensor","","1","0","0","0","0"
"","increase brightness","","1","0","0","0","0"
"","tracker","","1","0","0","0","0"
"","shopping list","","1","0","0","0","0"
